	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
1	Feature	Node	X	Y	Z	Nt[kN/m]	Nz[kN/m]	Ntz[kN/m]	Mt[kN.m/m]	Mz[kN.m/m]	Mtz[kN.m/m]	St[kN/m]	Sz[kN/m]
158	Surface 30	26604	9.665	7.01648E-15	-6.72	-759.123	-205.317	0.547666	-8.33153	-3.6198	0.276709	-1.26339	6.76326
159	Surface 30	26608	9.665	6.11241	-6.72	-759.858	-205.026	-1.69807	-9.07921	-3.76022	0.294223	-1.55614	6.71737
160	Surface 30	26612	9.665	12.2246	-6.72	-760.37	-204.775	-1.74907	-9.7669	-3.8916	0.316369	-2.63086	6.74278
161	Surface 30	26618	9.665	18.3371	-6.72	-761.389	-204.394	2.91841	-10.3526	-4.00102	0.37165	-4.66624	6.65922
162	Surface 30	26822	9.665	7.01648E-15	-5.66	-675.011	-170.968	0.814369	-6.16168	2.11501	0.286845	-1.20755	4.11723
163	Surface 30	26827	9.665	6.11242	-5.66	-675.779	-170.752	-1.4366	-6.92825	1.97663	0.30277	-1.48126	4.07398
164	Surface 30	26832	9.665	12.2246	-5.66	-676.31	-170.532	-1.47632	-7.64345	1.84507	0.323451	-2.44522	4.1035
165	Surface 30	26838	9.665	18.3371	-5.66	-677.355	-170.208	3.27758	-8.25335	1.73402	0.379231	-4.26175	4.02581
166	Surface 30	27114	9.665	7.01648E-15	-4.6	-587.442	-137.52	1.19022	-4.39747	5.59555	0.30413	-1.14672	2.6172
167	Surface 30	27118	9.665	6.11244	-4.6	-588.218	-137.357	-1.14618	-5.18264	5.4636	0.316898	-1.39635	2.57826
168	Surface 30	27124	9.665	12.2246	-4.6	-588.767	-137.152	-1.16669	-5.92353	5.3364	0.335734	-2.24246	2.61735
